OG	cog_id	Term	Category
OG0000045	K	Transcription	Information storage and processing
OG0000046	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000047	G	Carbohydrate transport and metabolism	Metabolism
OG0000048	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000049	S	Function unknown	Poorly characterized
OG0000050	S	Function unknown	Poorly characterized
OG0000051	S	Function unknown	Poorly characterized
OG0000052	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000053	B	Chromatin structure and dynamics	Information storage and processing
OG0000053	K	Transcription	Information storage and processing
OG0000054	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000055	S	Function unknown	Poorly characterized
OG0000056	P	Inorganic ion transport and metabolism	Metabolism
OG0000057	I	Lipid transport and metabolism	Metabolism
OG0000058	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000059	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000060	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000061	E	Amino acid transport and metabolism	Metabolism
OG0000062	S	Function unknown	Poorly characterized
OG0000063	G	Carbohydrate transport and metabolism	Metabolism
OG0000064	K	Transcription	Information storage and processing
OG0000065	P	Inorganic ion transport and metabolism	Metabolism
OG0000066	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000067	G	Carbohydrate transport and metabolism	Metabolism
OG0000068	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000069	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000070	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000071	S	Function unknown	Poorly characterized
OG0000072	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000073	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000074	S	Function unknown	Poorly characterized
OG0000075	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000076	P	Inorganic ion transport and metabolism	Metabolism
OG0000077	K	Transcription	Information storage and processing
OG0000078	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000079	K	Transcription	Information storage and processing
OG0000080	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000081	V	Defense mechanisms	Cellular processes and signaling
OG0000081	W	Extracellular structures	Cellular processes and signaling
OG0000082	S	Function unknown	Poorly characterized
OG0000083	B	Chromatin structure and dynamics	Information storage and processing
OG0000083	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0000084	A	RNA processing and modification	Information storage and processing
OG0000085	S	Function unknown	Poorly characterized
OG0000086	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000087	P	Inorganic ion transport and metabolism	Metabolism
OG0000087	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000088	Z	Cytoskeleton	Cellular processes and signaling
OG0000089	S	Function unknown	Poorly characterized
OG0000090	E	Amino acid transport and metabolism	Metabolism
OG0000091	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000092	S	Function unknown	Poorly characterized
OG0000093	L	Replication, recombination and repair	Information storage and processing
OG0000094	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000095	Z	Cytoskeleton	Cellular processes and signaling
OG0000096	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000097	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000098	S	Function unknown	Poorly characterized
OG0000099	S	Function unknown	Poorly characterized
OG0000100	S	Function unknown	Poorly characterized
OG0000101	S	Function unknown	Poorly characterized
OG0000102	S	Function unknown	Poorly characterized
OG0000103	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000104	Z	Cytoskeleton	Cellular processes and signaling
OG0000105	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0000106	W	Extracellular structures	Cellular processes and signaling
OG0000107	S	Function unknown	Poorly characterized
OG0000108	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000109	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000110	Z	Cytoskeleton	Cellular processes and signaling
OG0000111	M	Cell wall/membrane/envelope biogenesis	Cellular processes and signaling
OG0000112	P	Inorganic ion transport and metabolism	Metabolism
OG0000113	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0000114	K	Transcription	Information storage and processing
OG0000115	B	Chromatin structure and dynamics	Information storage and processing
OG0000116	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0000117	L	Replication, recombination and repair	Information storage and processing
OG0000118	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000119	S	Function unknown	Poorly characterized
OG0000120	E	Amino acid transport and metabolism	Metabolism
OG0000120	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000121	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000121	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0000122	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000123	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000124	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000125	E	Amino acid transport and metabolism	Metabolism
OG0000126	L	Replication, recombination and repair	Information storage and processing
OG0000127	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000128	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000129	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000130	P	Inorganic ion transport and metabolism	Metabolism
OG0000131	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000131	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000132	F	Nucleotide transport and metabolism	Metabolism
OG0000133	P	Inorganic ion transport and metabolism	Metabolism
OG0000133	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000134	M	Cell wall/membrane/envelope biogenesis	Cellular processes and signaling
OG0000135	S	Function unknown	Poorly characterized
OG0000136	S	Function unknown	Poorly characterized
OG0000137	S	Function unknown	Poorly characterized
OG0000138	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000139	L	Replication, recombination and repair	Information storage and processing
OG0000140	P	Inorganic ion transport and metabolism	Metabolism
OG0000141	Z	Cytoskeleton	Cellular processes and signaling
OG0000142	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0000143	B	Chromatin structure and dynamics	Information storage and processing
OG0000144	K	Transcription	Information storage and processing
OG0000145	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000146	K	Transcription	Information storage and processing
OG0000147	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000148	S	Function unknown	Poorly characterized
OG0000149	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000150	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000151	G	Carbohydrate transport and metabolism	Metabolism
OG0000152	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000153	S	Function unknown	Poorly characterized
OG0000154	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0000155	S	Function unknown	Poorly characterized
OG0000156	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000157	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0000158	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000159	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000160	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000161	K	Transcription	Information storage and processing
OG0000162	G	Carbohydrate transport and metabolism	Metabolism
OG0000163	A	RNA processing and modification	Information storage and processing
OG0000164	G	Carbohydrate transport and metabolism	Metabolism
OG0000165	C	Energy production and conversion	Metabolism
OG0000166	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000167	P	Inorganic ion transport and metabolism	Metabolism
OG0000168	F	Nucleotide transport and metabolism	Metabolism
OG0000169	S	Function unknown	Poorly characterized
OG0000170	G	Carbohydrate transport and metabolism	Metabolism
OG0000171	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000172	E	Amino acid transport and metabolism	Metabolism
OG0000173	E	Amino acid transport and metabolism	Metabolism
OG0000174	P	Inorganic ion transport and metabolism	Metabolism
OG0000175	B	Chromatin structure and dynamics	Information storage and processing
OG0000176	C	Energy production and conversion	Metabolism
OG0000177	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0000178	S	Function unknown	Poorly characterized
OG0000179	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0000180	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000181	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000182	S	Function unknown	Poorly characterized
OG0000183	S	Function unknown	Poorly characterized
OG0000184	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000185	S	Function unknown	Poorly characterized
OG0000186	P	Inorganic ion transport and metabolism	Metabolism
OG0000187	P	Inorganic ion transport and metabolism	Metabolism
OG0000188	S	Function unknown	Poorly characterized
OG0000189	S	Function unknown	Poorly characterized
OG0000190	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000191	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0000192	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000193	L	Replication, recombination and repair	Information storage and processing
OG0000194	E	Amino acid transport and metabolism	Metabolism
OG0000195	E	Amino acid transport and metabolism	Metabolism
OG0000196	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000197	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000198	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000199	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000200	S	Function unknown	Poorly characterized
OG0000201	S	Function unknown	Poorly characterized
OG0000202	S	Function unknown	Poorly characterized
OG0000203	M	Cell wall/membrane/envelope biogenesis	Cellular processes and signaling
OG0000203	W	Extracellular structures	Cellular processes and signaling
OG0000204	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000205	V	Defense mechanisms	Cellular processes and signaling
OG0000206	P	Inorganic ion transport and metabolism	Metabolism
OG0000206	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000207	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000208	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000209	K	Transcription	Information storage and processing
OG0000210	L	Replication, recombination and repair	Information storage and processing
OG0000211	P	Inorganic ion transport and metabolism	Metabolism
OG0000212	S	Function unknown	Poorly characterized
OG0000213	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0000214	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000215	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000216	P	Inorganic ion transport and metabolism	Metabolism
OG0000217	S	Function unknown	Poorly characterized
OG0000218	K	Transcription	Information storage and processing
OG0000219	W	Extracellular structures	Cellular processes and signaling
OG0000220	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000221	L	Replication, recombination and repair	Information storage and processing
OG0000222	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000223	I	Lipid transport and metabolism	Metabolism
OG0000224	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000225	M	Cell wall/membrane/envelope biogenesis	Cellular processes and signaling
OG0000226	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0000227	I	Lipid transport and metabolism	Metabolism
OG0000228	E	Amino acid transport and metabolism	Metabolism
OG0000229	S	Function unknown	Poorly characterized
OG0000230	S	Function unknown	Poorly characterized
OG0000231	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0000231	Z	Cytoskeleton	Cellular processes and signaling
OG0000232	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000233	S	Function unknown	Poorly characterized
OG0000234	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000235	P	Inorganic ion transport and metabolism	Metabolism
OG0000235	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000236	L	Replication, recombination and repair	Information storage and processing
OG0000237	S	Function unknown	Poorly characterized
OG0000238	E	Amino acid transport and metabolism	Metabolism
OG0000238	P	Inorganic ion transport and metabolism	Metabolism
OG0000238	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000239	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000240	Z	Cytoskeleton	Cellular processes and signaling
OG0000241	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000242	S	Function unknown	Poorly characterized
OG0000243	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000244	S	Function unknown	Poorly characterized
OG0000245	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000246	S	Function unknown	Poorly characterized
OG0000247	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000248	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000249	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0000250	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000251	S	Function unknown	Poorly characterized
OG0000252	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0000252	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000253	G	Carbohydrate transport and metabolism	Metabolism
OG0000254	S	Function unknown	Poorly characterized
OG0000255	A	RNA processing and modification	Information storage and processing
OG0000256	C	Energy production and conversion	Metabolism
OG0000257	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000258	Z	Cytoskeleton	Cellular processes and signaling
OG0000259	N	Cell motility	Cellular processes and signaling
OG0000260	S	Function unknown	Poorly characterized
OG0000261	I	Lipid transport and metabolism	Metabolism
OG0000261	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000262	K	Transcription	Information storage and processing
OG0000263	S	Function unknown	Poorly characterized
OG0000264	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000265	S	Function unknown	Poorly characterized
OG0000266	S	Function unknown	Poorly characterized
OG0000267	W	Extracellular structures	Cellular processes and signaling
OG0000268	K	Transcription	Information storage and processing
OG0000269	L	Replication, recombination and repair	Information storage and processing
OG0000270	S	Function unknown	Poorly characterized
OG0000271	S	Function unknown	Poorly characterized
OG0000272	S	Function unknown	Poorly characterized
OG0000273	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000274	P	Inorganic ion transport and metabolism	Metabolism
OG0000275	P	Inorganic ion transport and metabolism	Metabolism
OG0000276	L	Replication, recombination and repair	Information storage and processing
OG0000277	G	Carbohydrate transport and metabolism	Metabolism
OG0000278	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000279	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000280	S	Function unknown	Poorly characterized
OG0000281	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000282	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000283	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000284	S	Function unknown	Poorly characterized
OG0000285	G	Carbohydrate transport and metabolism	Metabolism
OG0000286	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000287	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000288	S	Function unknown	Poorly characterized
OG0000289	S	Function unknown	Poorly characterized
OG0000290	P	Inorganic ion transport and metabolism	Metabolism
OG0000291	F	Nucleotide transport and metabolism	Metabolism
OG0000291	P	Inorganic ion transport and metabolism	Metabolism
OG0000292	S	Function unknown	Poorly characterized
OG0000293	G	Carbohydrate transport and metabolism	Metabolism
OG0000294	Z	Cytoskeleton	Cellular processes and signaling
OG0000295	S	Function unknown	Poorly characterized
OG0000296	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000297	L	Replication, recombination and repair	Information storage and processing
OG0000298	S	Function unknown	Poorly characterized
OG0000299	J	Translation, ribosomal structure and biogenesis	Information storage and processing
OG0000300	K	Transcription	Information storage and processing
OG0000301	S	Function unknown	Poorly characterized
OG0000302	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000303	Z	Cytoskeleton	Cellular processes and signaling
OG0000304	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000305	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000306	P	Inorganic ion transport and metabolism	Metabolism
OG0000307	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000308	S	Function unknown	Poorly characterized
OG0000309	S	Function unknown	Poorly characterized
OG0000310	I	Lipid transport and metabolism	Metabolism
OG0000310	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000311	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000312	S	Function unknown	Poorly characterized
OG0000313	P	Inorganic ion transport and metabolism	Metabolism
OG0000314	S	Function unknown	Poorly characterized
OG0000315	G	Carbohydrate transport and metabolism	Metabolism
OG0000316	S	Function unknown	Poorly characterized
OG0000317	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000318	S	Function unknown	Poorly characterized
OG0000319	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000320	S	Function unknown	Poorly characterized
OG0000321	S	Function unknown	Poorly characterized
OG0000322	S	Function unknown	Poorly characterized
OG0000323	I	Lipid transport and metabolism	Metabolism
OG0000324	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000325	S	Function unknown	Poorly characterized
OG0000326	S	Function unknown	Poorly characterized
OG0000327	A	RNA processing and modification	Information storage and processing
OG0000328	S	Function unknown	Poorly characterized
OG0000329	S	Function unknown	Poorly characterized
OG0000330	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0000331	P	Inorganic ion transport and metabolism	Metabolism
OG0000332	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000333	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000333	P	Inorganic ion transport and metabolism	Metabolism
OG0000334	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000335	I	Lipid transport and metabolism	Metabolism
OG0000336	S	Function unknown	Poorly characterized
OG0000337	K	Transcription	Information storage and processing
OG0000338	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000338	V	Defense mechanisms	Cellular processes and signaling
OG0000339	A	RNA processing and modification	Information storage and processing
OG0000340	B	Chromatin structure and dynamics	Information storage and processing
OG0000341	P	Inorganic ion transport and metabolism	Metabolism
OG0000342	S	Function unknown	Poorly characterized
OG0000343	S	Function unknown	Poorly characterized
OG0000344	M	Cell wall/membrane/envelope biogenesis	Cellular processes and signaling
OG0000345	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000346	S	Function unknown	Poorly characterized
OG0000347	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000348	E	Amino acid transport and metabolism	Metabolism
OG0000349	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000350	A	RNA processing and modification	Information storage and processing
OG0000351	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000352	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000353	F	Nucleotide transport and metabolism	Metabolism
OG0000354	S	Function unknown	Poorly characterized
OG0000355	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000356	G	Carbohydrate transport and metabolism	Metabolism
OG0000357	I	Lipid transport and metabolism	Metabolism
OG0000358	P	Inorganic ion transport and metabolism	Metabolism
OG0000358	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000359	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000360	S	Function unknown	Poorly characterized
OG0000361	I	Lipid transport and metabolism	Metabolism
OG0000362	S	Function unknown	Poorly characterized
OG0000363	I	Lipid transport and metabolism	Metabolism
OG0000364	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0000364	Y	Nuclear structure	Cellular processes and signaling
OG0000365	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000366	K	Transcription	Information storage and processing
OG0000367	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000367	Z	Cytoskeleton	Cellular processes and signaling
OG0000368	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000369	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0000370	S	Function unknown	Poorly characterized
OG0000371	B	Chromatin structure and dynamics	Information storage and processing
OG0000372	I	Lipid transport and metabolism	Metabolism
OG0000373	E	Amino acid transport and metabolism	Metabolism
OG0000374	S	Function unknown	Poorly characterized
OG0000375	S	Function unknown	Poorly characterized
OG0000376	S	Function unknown	Poorly characterized
OG0000377	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000378	Q	Secondary metabolites biosynthesis, transport and catabolism	Metabolism
OG0000379	S	Function unknown	Poorly characterized
OG0000380	I	Lipid transport and metabolism	Metabolism
OG0000380	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0000381	P	Inorganic ion transport and metabolism	Metabolism
OG0000382	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000383	S	Function unknown	Poorly characterized
OG0000384	S	Function unknown	Poorly characterized
OG0000385	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0000385	Z	Cytoskeleton	Cellular processes and signaling
OG0000386	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000387	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000388	S	Function unknown	Poorly characterized
OG0000389	S	Function unknown	Poorly characterized
OG0000390	Z	Cytoskeleton	Cellular processes and signaling
OG0000391	S	Function unknown	Poorly characterized
OG0000392	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000393	W	Extracellular structures	Cellular processes and signaling
OG0000394	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000395	S	Function unknown	Poorly characterized
OG0000396	S	Function unknown	Poorly characterized
OG0000397	E	Amino acid transport and metabolism	Metabolism
OG0000398	P	Inorganic ion transport and metabolism	Metabolism
OG0000398	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000399	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0000400	K	Transcription	Information storage and processing
OG0000401	S	Function unknown	Poorly characterized
OG0000402	G	Carbohydrate transport and metabolism	Metabolism
OG0000403	M	Cell wall/membrane/envelope biogenesis	Cellular processes and signaling
OG0000404	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000404	Z	Cytoskeleton	Cellular processes and signaling
OG0000405	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000406	V	Defense mechanisms	Cellular processes and signaling
OG0000407	E	Amino acid transport and metabolism	Metabolism
OG0000408	P	Inorganic ion transport and metabolism	Metabolism
OG0000409	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000409	W	Extracellular structures	Cellular processes and signaling
OG0000410	S	Function unknown	Poorly characterized
OG0000411	Z	Cytoskeleton	Cellular processes and signaling
OG0000412	P	Inorganic ion transport and metabolism	Metabolism
OG0000413	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000414	M	Cell wall/membrane/envelope biogenesis	Cellular processes and signaling
OG0000415	F	Nucleotide transport and metabolism	Metabolism
OG0000416	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000417	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000418	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000419	S	Function unknown	Poorly characterized
OG0000420	K	Transcription	Information storage and processing
OG0000421	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000422	G	Carbohydrate transport and metabolism	Metabolism
OG0000423	S	Function unknown	Poorly characterized
OG0000424	C	Energy production and conversion	Metabolism
OG0000425	P	Inorganic ion transport and metabolism	Metabolism
OG0000426	B	Chromatin structure and dynamics	Information storage and processing
OG0000427	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000427	V	Defense mechanisms	Cellular processes and signaling
OG0000428	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000429	L	Replication, recombination and repair	Information storage and processing
OG0000430	L	Replication, recombination and repair	Information storage and processing
OG0000431	C	Energy production and conversion	Metabolism
OG0000432	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000433	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000434	A	RNA processing and modification	Information storage and processing
OG0000435	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000436	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000437	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000438	T	Signal transduction mechanisms	Cellular processes and signaling
OG0000438	U	Intracellular trafficking, secretion, and vesicular transport	Cellular processes and signaling
OG0000439	D	Cell cycle control, cell division, chromosome partitioning	Cellular processes and signaling
OG0000439	Z	Cytoskeleton	Cellular processes and signaling
OG0000440	A	RNA processing and modification	Information storage and processing
OG0000441	M	Cell wall/membrane/envelope biogenesis	Cellular processes and signaling
OG0000442	S	Function unknown	Poorly characterized
OG0000443	O	Posttranslational modification, protein turnover, chaperones	Cellular processes and signaling
OG0000444	K	Transcription	Information storage and processing
OG0000445	B	Chromatin structure and dynamics	Information storage and processing
